t_coast_s,forward_accel_mps2
3.071895,0.010435
3.081044,0.108091
3.090482,0.108091
3.099721,0.010435
3.111963,0.162778
3.121033,0.010435
3.130723,0.010435
3.139714,0.174497
3.151518,0.069028
3.160989,0.162778
3.170692,0.162778
3.179696,0.029966
3.191724,0.088560
3.201308,0.022153
3.211270,0.174497
3.219684,0.076841
3.231337,0.162778
3.241056,0.096372
3.250858,0.096372
3.259692,0.135435
3.271324,0.022153
3.280973,0.108091
3.290721,0.108091
3.299728,0.022153
3.311505,0.162778
3.321070,0.022153
3.330717,0.022153
3.339797,0.174497
3.351574,0.057310
3.360979,0.162778
3.370504,0.162778
3.379676,0.022153
3.391461,0.076841
3.401006,0.022153
3.410652,0.022153
3.419726,0.115903
3.431640,0.154966
3.441121,0.108091
3.450382,0.108091
3.459690,0.108091
3.471826,0.022153
3.481089,0.108091
3.490878,0.108091
3.499706,0.022153
3.511370,0.147153
3.521036,0.041685
3.530416,0.041685
3.539746,0.162778
3.551307,0.041685
3.561237,0.162778
3.570471,0.162778
3.579795,0.029966
3.591524,0.069028
3.600787,0.069028
3.610389,0.029966
3.619663,0.088560
3.631235,0.147153
3.640974,0.135435
3.648979,0.135435
3.660316,0.108091
3.671632,0.022153
3.681309,0.096372
3.690544,0.096372
3.699787,0.041685
3.711627,0.147153
3.721182,0.057310
3.730485,0.057310
3.739756,0.174497
3.751328,0.029966
3.761337,0.162778
3.770586,0.162778
3.780036,0.022153
3.791652,0.088560
3.801066,0.022153
3.809089,0.022153
3.820062,0.115903
3.831772,0.127622
3.841203,0.147153
3.849132,0.147153
3.860191,0.076841
3.871792,0.010435
3.881202,0.069028
3.891113,0.069028
3.899722,0.022153
3.911415,0.147153
3.921349,0.041685
3.929036,0.041685
3.940099,0.162778
3.951415,0.057310
3.961240,0.162778
3.970762,0.162778
3.979757,0.041685
3.992403,0.115903
4.001697,0.010435
4.009389,0.010435
4.020422,0.115903
4.031701,0.127622
4.041144,0.147153
4.050546,0.147153
4.059747,0.108091
4.071752,0.010435
4.081074,0.069028
4.089205,0.069028
4.100296,0.010435
4.111135,0.049497
4.121163,0.069028
4.129158,0.069028
4.140357,0.162778
4.151677,0.029966
4.161050,0.154966
4.169359,0.154966
4.180297,0.022153
4.191358,0.108091
4.201063,0.029966
4.209167,0.029966
4.220392,0.147153
4.232198,0.108091
4.241116,0.135435
4.249220,0.135435
4.260516,0.076841
4.271008,0.147153
4.281217,0.076841
4.290694,0.076841
4.300024,0.049497
4.310995,0.057310
4.321201,0.076841
4.329165,0.076841
4.340381,0.201841
4.351344,0.002622
4.356098,0.002622
4.371979,0.108091
4.379963,0.002622
4.391588,0.115903
4.401080,0.115903
4.406013,0.002622
4.420840,0.115903
4.430679,0.002622
4.440630,0.115903
4.446012,0.147153
4.460721,0.041685
4.470733,0.154966
4.480663,0.049497
4.489437,0.057310
4.499938,0.041685
4.510645,0.049497
4.520638,0.182310
4.526021,0.069028
4.541043,0.041685
4.552576,0.029966
4.560870,0.029966
4.569425,0.135435
4.580535,0.010435
4.590295,0.135435
4.600753,0.154966
4.606045,0.010435
4.620977,0.127622
4.629406,0.022153
4.641270,0.147153
4.645986,0.147153
4.660676,0.029966
4.671183,0.162778
4.680700,0.041685
4.686028,0.049497
4.700661,0.154966
4.710806,0.041685
4.720354,0.147153
4.726458,0.069028
4.740169,0.029966
4.751383,0.029966
4.760382,0.029966
4.771057,0.147153
4.779896,0.010435
4.791327,0.108091
4.800405,0.127622
4.806034,0.002622
4.820734,0.096372
4.829347,0.022153
4.841429,0.154966
4.846162,0.154966
4.860575,0.049497
4.870775,0.154966
4.878886,0.049497
4.891350,0.041685
4.900043,0.076841
4.909292,0.041685
4.921535,0.088560
4.926102,0.088560
4.940666,0.022153
4.949263,0.127622
4.961341,0.135435
4.966419,0.135435
4.980710,0.135435
4.989333,0.115903
5.001350,0.022153
5.006168,0.022153
5.020669,0.108091
5.029294,0.029966
5.041579,0.194028
5.046149,0.194028
5.060755,0.041685
5.069426,0.162778
5.082634,0.041685
5.086341,0.041685
5.100907,0.174497
5.111653,0.010435
5.116303,0.135435
5.131758,0.115903
5.140031,0.135435
5.149774,0.127622
5.161655,0.108091
5.166422,0.108091
5.180933,0.135435
5.189464,0.108091
5.201863,0.022153
5.206402,0.022153
5.220784,0.088560
5.231539,0.049497
5.236420,0.069028
5.252533,0.057310
5.260324,0.041685
5.269625,0.174497
5.282992,0.041685
5.286088,0.041685
5.300835,0.147153
5.310816,0.010435
5.316036,0.127622
5.332671,0.022153
5.340061,0.135435
5.350898,0.135435
5.356030,0.010435
5.372672,0.154966
5.380570,0.022153
5.389409,0.069028
5.401724,0.029966
5.406041,0.029966
5.420971,0.069028
5.429429,0.057310
5.442814,0.182310
5.446045,0.182310
5.460714,0.069028
5.469340,0.162778
5.482590,0.002622
5.486122,0.002622
5.500787,0.174497
5.511102,0.010435
5.516098,0.154966
5.533009,0.010435
5.540041,0.135435
5.552275,0.135435
5.555996,0.010435
5.572762,0.154966
5.580009,0.041685
5.592356,0.069028
5.596002,0.154966
5.612787,0.057310
5.619981,0.162778
5.630346,0.069028
5.642519,0.154966
5.646053,0.154966
5.660976,0.076841
5.672384,0.147153
5.676017,0.096372
5.692701,0.135435
5.700748,0.115903
5.712488,0.010435
5.716112,0.127622
5.733014,0.010435
5.740831,0.096372
5.754107,0.010435
5.756189,0.010435
5.772998,0.174497
5.780690,0.022153
5.792580,0.041685
5.796098,0.162778
5.813395,0.049497
5.820469,0.154966
5.832467,0.076841
5.836010,0.010435
5.852953,0.108091
5.860544,0.029966
5.871955,0.147153
5.875983,0.108091
5.892975,0.135435
5.900541,0.127622
5.912389,0.002622
5.916033,0.088560
5.932878,0.002622
5.940813,0.076841
5.952509,0.162778
5.956156,0.041685
5.973031,0.154966
5.980632,0.029966
5.992209,0.041685
5.996229,0.162778
6.013175,0.057310
6.020836,0.162778
6.032012,0.076841
6.036018,0.010435
6.054587,0.115903
6.056684,0.041685
6.074714,0.127622
6.076693,0.127622
6.093841,0.115903
6.100671,0.127622
6.107250,0.022153
