t_coast_s,velocity_mps
2.897177,0.000000
2.979324,0.000000
2.999554,0.000000
3.071006,0.000000
3.111524,0.000000
3.654929,0.000000
3.674959,0.000000
3.776893,0.000000
3.797470,0.000000
3.879237,0.000000
3.972049,0.000000
3.991214,0.000000
4.011998,0.000000
4.277696,0.000000
4.297860,0.000000
4.554626,0.000000
4.574906,0.000000
4.851212,0.000000
4.953035,0.000000
4.973459,0.000000
5.759703,0.000000
